Graphiste/Illustrateur	position
tu	O
fais	O
surtout	O
preuve	O
de	O
motivation	soft_skills
-LRB-	O
la	O
création	O
graphique	O
c’est	O
une	O
de	O
tes	O
passions	O
!	O
-RRB-	O
,	O
de	O
dynamisme	soft_skills
-LRB-	O
n'hésite	O
pas	O
à	O
être	O
proactif	O
!	O
-RRB-	O
,	O
et	O
de	O
rigueur	soft_skills
.	O
Aussi	O
,	O
tu	O
as	O
l'habitude	O
de	O
travailler	soft_skills
en	soft_skills
groupe	soft_skills
-LRB-	O
avec	O
d'autres	O
graphistes	O
,	O
chef	O
de	O
projets	O
,	O
développeurs	O
...	O
-RRB-	O
et	O
tu	O
connais	hard_skills
les	hard_skills
bases	hard_skills
du	hard_skills
développement	hard_skills
web	hard_skills
-LRB-	O
CSS3	hard_skills
,	hard_skills
HTML5	hard_skills
,	hard_skills
JS	hard_skills
-RRB-	O
.	O
ATTENTION	O
:	O
BOOK	O
ou	O
PORTFOLIO	O
de	O
création	O
OBLIGATOIRE	O
-LRB-	O
/	O
10	O
pages	O
minimum	O
-RRB-	O
.	O
INFORMATIONS	O
COMPLEMENTAIRES	O
:	O
Lieu	O
:	O
Paris	city
75001	postal_code
Contrat	O
:	O
35H	O
Rémunération	O
:	O
selon	O
la	O
grille	O
légale	O
Tickets	O
Restaurants	O
A	O
pourvoir	O
dès	O
septembre	O
2017	O
Merci	O
de	O
joindre	O
un	O
BOOK	O
ou	O
PORTFOLIO	O
à	O
votre	O
candidature	O
!	O
Postuler	O
par	O
mail	O
DIRECTEMENT	O
:	O
servicerhfnacrecrut	O
outlook.fr	O
-	O
CV	O
-	O
LM	O
personnalisée	O
-LRB-	O
toutes	O
lettres	O
dites	O
``	O
types	O
''	O
ne	O
sera	O
pas	O
acceptée	O
et	O
entrainera	O
un	O
refus	O
de	O
candidature	O
.	O
-RRB-	O
-	O
Book	O
personnel	O
de	O
créations	O
-LRB-	O
/	O
10	O
pages	O
min	O
.	O
-RRB-	O
Type	O
d'emploi	O
:	O
CDD	contract_type
Salaire	O
:	O
1	salary
700	salary
$	salary
à	salary
2	salary
0	salary
$	salary
/	salary
mois	salary
Localisation	O
du	O
poste	O
:	O
Paris	city
1er	postal_code
-LRB-	O
75	postal_code
-RRB-	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
DEUG	experience
,	O
DUT	experience
,	O
BTS	experience
Expérience	O
exigée	O
:	O
Graphisme	experience
:	experience
2	experience
ans	experience
Langue	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Français	hard_skills
Allemand	hard_skills
Anglais	hard_skills
