Ergothérapeute	position
'	O
appuyant	O
sur	O
les	O
ressources	O
propres	O
à	O
chacun	O
.	O
Votre	O
mission	O
:	O
Dans	O
le	O
cadre	O
de	O
son	O
ouverture	O
en	O
janvier	O
2018	O
,	O
vous	O
contribuez	O
au	O
développement	O
du	O
projet	O
du	O
centre	O
de	O
jour	O
.	O
Vous	O
exercez	O
des	O
fonctions	O
de	O
diagnostic	O
et	O
d'évaluation	O
des	O
capacités	O
et	O
des	O
besoins	O
du	O
patient	O
.	O
Vous	O
assurez	O
la	O
rééducation	O
et	O
la	O
réhabilitation	O
cognitive	O
,	O
psychique	O
,	O
sensorielle	O
et	O
motrice	O
du	O
patient	O
";"	O
Vous	O
êtes	O
garant	O
d'un	O
accompagnement	O
de	O
qualité	O
et	O
bientraitant	O
:	O
réalisation	O
,	O
choix	O
et	O
amélioration	O
des	O
aides	O
techniques	O
et	O
des	O
dispositifs	O
adaptés	O
aux	O
patients	O
.	O
Vous	O
participez	O
à	O
l'échange	O
d'informations	O
au	O
sein	O
de	O
l'équipe	O
pluridisciplinaire	O
:	O
analyse	O
,	O
synthèse	O
et	O
transcription	O
des	O
informations	O
sur	O
la	O
situation	O
du	O
patient	O
.	O
Vous	O
participez	O
à	O
la	O
conception	O
des	O
projets	O
de	O
groupes	O
thérapeutiques	O
et	O
des	O
projets	O
individualisés	O
Membre	O
de	O
l'équipe	O
pluridisciplinaire	O
,	O
vous	O
collaborez	O
avec	O
les	O
autres	O
professionnels	O
de	O
l'équipe	O
dans	O
l'accomplissement	O
de	O
votre	O
mission	O
.	O
Profil	O
Titulaire	O
du	O
diplôme	experience
d'ergothérapeute	experience
,	O
vous	O
disposez	O
de	O
3	experience
à	experience
5	experience
ans	experience
d'expérience	O
.	O
Une	O
formation	O
à	O
l'éducation	O
thérapeutique	O
est	O
souhaitée	O
.	O
Vous	O
avez	O
des	O
capacités	O
à	O
concevoir	O
et	O
animer	O
des	O
activités	O
thérapeutiques	O
manuelles	O
,	O
ludiques	O
,	O
professionnelles	O
et	O
domestiques	O
axées	O
sur	O
la	O
stimulation	O
.	O
Vous	O
avez	O
une	O
bonne	O
connaissance	O
des	O
techniques	O
de	O
rééducation	hard_skills
.	O
Vous	O
adhérez	O
au	O
projet	O
du	O
centre	O
et	O
avez	O
le	O
gout	O
du	O
travail	O
en	O
équipe	O
pluridisciplinaire	O
.	O
Vous	O
avez	O
des	O
capacités	O
à	O
vous	O
adapter	O
aux	O
personnes	O
ainsi	O
qu'aux	O
situations	O
.	O
Le	O
poste	O
est	O
à	O
pourvoir	O
en	O
CDI	O
temps	O
plein	O
,	O
à	O
Saint-Ouen	O
-LRB-	O
93400	postal_code
-RRB-	O
courant	O
janvier	O
2018	O
.	O
L'ŒUVRE	O
FALRET	O
est	O
une	O
entreprise	O
handi	O
accueillante	O
.	O
Horaires	O
:	O
Du	O
lundi	O
au	O
vendredi	O
de	O
9h	O
à	O
17h	O
-LRB-	O
35h	O
/	O
sem	O
-RRB-	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
24	O
0	O
$	O
à	O
28	O
0	O
$	O
/	O
an	O
