Ergothérapeute	position
s	O
'	O
appuyant	O
sur	O
les	O
ressources	O
propres	O
à	O
chacun	O
.	O
Votre	hard_skills
mission	hard_skills
:	O
Dans	hard_skills
le	hard_skills
cadre	hard_skills
de	hard_skills
son	hard_skills
ouverture	hard_skills
en	hard_skills
janvier	hard_skills
2018	hard_skills
,	hard_skills
vous	hard_skills
contribuez	hard_skills
au	hard_skills
développement	hard_skills
du	hard_skills
projet	hard_skills
du	hard_skills
centre	hard_skills
de	hard_skills
jour	hard_skills
.	O
Vous	hard_skills
exercez	hard_skills
des	hard_skills
fonctions	hard_skills
de	hard_skills
diagnostic	hard_skills
et	hard_skills
d'évaluation	hard_skills
des	hard_skills
capacités	hard_skills
et	hard_skills
des	hard_skills
besoins	hard_skills
du	hard_skills
patient	hard_skills
.	O
Vous	hard_skills
assurez	hard_skills
la	hard_skills
rééducation	hard_skills
et	hard_skills
la	hard_skills
réhabilitation	hard_skills
cognitive	hard_skills
,	O
psychique	hard_skills
,	O
sensorielle	hard_skills
et	hard_skills
motrice	hard_skills
du	hard_skills
patient	hard_skills
";"	O
Vous	hard_skills
êtes	hard_skills
garant	hard_skills
d'un	hard_skills
accompagnement	hard_skills
de	hard_skills
qualité	hard_skills
et	hard_skills
bientraitant	hard_skills
:	O
réalisation	hard_skills
,	O
choix	hard_skills
et	hard_skills
amélioration	hard_skills
des	hard_skills
aides	hard_skills
techniques	hard_skills
et	hard_skills
des	hard_skills
dispositifs	hard_skills
adaptés	hard_skills
aux	hard_skills
patients	hard_skills
.	O
Vous	hard_skills
participez	hard_skills
à	hard_skills
l'échange	hard_skills
d'informations	hard_skills
au	hard_skills
sein	hard_skills
de	hard_skills
l'équipe	hard_skills
pluridisciplinaire	hard_skills
:	O
analyse	hard_skills
,	O
synthèse	hard_skills
et	hard_skills
transcription	hard_skills
des	hard_skills
informations	hard_skills
sur	hard_skills
la	hard_skills
situation	hard_skills
du	hard_skills
patient	hard_skills
.	O
Vous	hard_skills
participez	hard_skills
à	hard_skills
la	hard_skills
conception	hard_skills
des	hard_skills
projets	hard_skills
de	hard_skills
groupes	hard_skills
thérapeutiques	hard_skills
et	hard_skills
des	hard_skills
projets	hard_skills
individualisés	hard_skills
Membre	hard_skills
de	hard_skills
l'équipe	hard_skills
pluridisciplinaire	hard_skills
,	O
vous	hard_skills
collaborez	hard_skills
avec	hard_skills
les	hard_skills
autres	hard_skills
professionnels	hard_skills
de	hard_skills
l'équipe	hard_skills
dans	hard_skills
l'accomplissement	hard_skills
de	hard_skills
votre	hard_skills
mission	hard_skills
.	O
Profil	O
Titulaire	experience
du	experience
diplôme	experience
d'ergothérapeute	experience
,	O
vous	experience
disposez	experience
de	experience
3	experience
à	experience
5	experience
ans	experience
d'expérience	experience
.	O
Une	experience
formation	experience
à	experience
l'éducation	experience
thérapeutique	experience
est	experience
souhaitée	experience
.	O
Vous	hard_skills
avez	hard_skills
des	hard_skills
capacités	hard_skills
à	hard_skills
concevoir	hard_skills
et	hard_skills
animer	hard_skills
des	hard_skills
activités	hard_skills
thérapeutiques	hard_skills
manuelles	hard_skills
,	O
ludiques	hard_skills
,	O
professionnelles	hard_skills
et	hard_skills
domestiques	hard_skills
axées	hard_skills
sur	hard_skills
la	hard_skills
stimulation	hard_skills
.	O
Vous	hard_skills
avez	hard_skills
une	hard_skills
bonne	hard_skills
connaissance	hard_skills
des	hard_skills
techniques	hard_skills
de	hard_skills
rééducation	hard_skills
.	O
Vous	hard_skills
adhérez	hard_skills
au	hard_skills
projet	hard_skills
du	hard_skills
centre	hard_skills
et	hard_skills
avez	hard_skills
le	hard_skills
gout	hard_skills
du	hard_skills
travail	hard_skills
en	hard_skills
équipe	hard_skills
pluridisciplinaire	hard_skills
.	O
Vous	soft_skills
avez	soft_skills
des	soft_skills
capacités	soft_skills
à	soft_skills
vous	soft_skills
adapter	soft_skills
aux	soft_skills
personnes	soft_skills
ainsi	soft_skills
qu'aux	soft_skills
situations	soft_skills
.	O
Le	O
poste	O
est	O
à	O
pourvoir	O
en	O
CDI	contrat_type
temps	O
plein	O
,	O
à	O
Saint-Ouen	city
-LRB-	O
93400	code_postal
-RRB-	O
courant	O
janvier	O
2018	O
.	O
L'ŒUVRE	company
FALRET	company
est	O
une	O
entreprise	O
handi	O
accueillante	O
.	O
Horaires	O
:	O
Du	O
lundi	O
au	O
vendredi	O
de	O
9h	O
à	O
17h	O
-LRB-	O
35h	O
/	O
sem	O
-RRB-	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
24	salary
0	salary
$	salary
à	O
28	salary
0	salary
$	salary
/	O
an	salary
