Graphiste/Illustrateur	position
d'autres	O
graphistes	O
,	O
chef	O
de	O
projets	O
,	O
développeurs	O
...	O
-RRB-	O
et	O
tu	O
connais	O
les	O
bases	O
du	O
développement	O
web	O
-LRB-	O
CSS3	hard_skills
,	O
HTML5	hard_skills
,	O
JS	hard_skills
-RRB-	O
.	O
ATTENTION	O
:	O
BOOK	O
ou	O
PORTFOLIO	O
de	O
création	O
OBLIGATOIRE	O
-LRB-	O
/	O
10	O
pages	O
minimum	O
-RRB-	O
.	O
INFORMATIONS	O
COMPLEMENTAIRES	O
:	O
Lieu	O
:	O
Paris	O
75001	postal_code
Contrat	O
:	O
35H	O
Rémunération	O
:	O
selon	O
la	O
grille	O
légale	O
Tickets	O
Restaurants	O
A	O
pourvoir	O
dès	O
septembre	O
2017	O
Merci	O
de	O
joindre	O
un	O
BOOK	O
ou	O
PORTFOLIO	O
à	O
votre	O
candidature	O
!	O
Postuler	O
par	O
mail	O
DIRECTEMENT	O
:	O
servicerhfnacrecrut	O
outlook.fr	O
-	O
CV	O
-	O
LM	O
personnalisée	O
-LRB-	O
toutes	O
lettres	O
dites	O
``	O
types	O
''	O
ne	O
sera	O
pas	O
acceptée	O
et	O
entrainera	O
un	O
refus	O
de	O
candidature	O
.	O
-RRB-	O
-	O
Book	O
personnel	O
de	O
créations	O
-LRB-	O
/	O
10	O
pages	O
min	O
.	O
-RRB-	O
Type	O
d'emploi	O
:	O
CDD	O
Salaire	O
:	O
1	O
700	O
$	O
à	O
2	O
0	O
$	O
/	O
mois	O
Localisation	O
du	O
poste	O
:	O
Paris	O
1er	O
-LRB-	O
75	O
-RRB-	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
DEUG	O
,	O
DUT	O
,	O
BTS	O
Expérience	O
exigée	O
:	O
Graphisme	O
:	O
2	experience
ans	experience
Langue	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Français	hard_skills
Allemand	hard_skills
Anglais	hard_skills
