Ergothérapeute	position
s	O
'	O
appuyant	O
sur	O
les	O
ressources	O
propres	O
à	O
chacun	O
.	O
Votre	O
mission	O
:	O
Dans	O
le	O
cadre	O
de	O
son	O
ouverture	O
en	O
janvier	O
2018	O
,	O
vous	O
contribuez	hard_skills
au	hard_skills
développement	hard_skills
du	hard_skills
projet	hard_skills
du	hard_skills
centre	hard_skills
de	hard_skills
jour	hard_skills
.	O
Vous	O
exercez	hard_skills
des	hard_skills
fonctions	hard_skills
de	hard_skills
diagnostic	hard_skills
et	hard_skills
d'évaluation	hard_skills
des	hard_skills
capacités	hard_skills
et	hard_skills
des	hard_skills
besoins	hard_skills
du	hard_skills
patient	hard_skills
.	O
Vous	O
assurez	hard_skills
la	hard_skills
rééducation	hard_skills
et	hard_skills
la	hard_skills
réhabilitation	hard_skills
cognitive	hard_skills
,	hard_skills
psychique	hard_skills
,	hard_skills
sensorielle	hard_skills
et	hard_skills
motrice	hard_skills
du	hard_skills
patient	hard_skills
";"	O
Vous	O
êtes	hard_skills
garant	hard_skills
d'un	hard_skills
accompagnement	hard_skills
de	hard_skills
qualité	hard_skills
et	hard_skills
bientraitant	hard_skills
:	hard_skills
réalisation	hard_skills
,	hard_skills
choix	hard_skills
et	hard_skills
amélioration	hard_skills
des	hard_skills
aides	hard_skills
techniques	hard_skills
et	hard_skills
des	hard_skills
dispositifs	hard_skills
adaptés	hard_skills
aux	hard_skills
patients	hard_skills
.	O
Vous	O
participez	hard_skills
à	hard_skills
l'échange	hard_skills
d'informations	hard_skills
au	hard_skills
sein	hard_skills
de	hard_skills
l'équipe	hard_skills
pluridisciplinaire	hard_skills
:	hard_skills
analyse	hard_skills
,	hard_skills
synthèse	hard_skills
et	hard_skills
transcription	hard_skills
des	hard_skills
informations	hard_skills
sur	hard_skills
la	hard_skills
situation	hard_skills
du	hard_skills
patient	hard_skills
.	O
Vous	O
participez	hard_skills
à	hard_skills
la	hard_skills
conception	hard_skills
des	hard_skills
projets	hard_skills
de	hard_skills
groupes	hard_skills
thérapeutiques	hard_skills
et	hard_skills
des	hard_skills
projets	hard_skills
individualisés	hard_skills
Membre	O
de	O
l'équipe	O
pluridisciplinaire	O
,	O
vous	O
collaborez	hard_skills
avec	hard_skills
les	hard_skills
autres	hard_skills
professionnels	hard_skills
de	hard_skills
l'équipe	hard_skills
dans	hard_skills
l'accomplissement	hard_skills
de	hard_skills
votre	hard_skills
mission	hard_skills
.	O
Profil	O
Titulaire	O
du	O
diplôme	experience
d'ergothérapeute	experience
,	O
vous	O
disposez	O
de	O
3	experience
à	experience
5	experience
ans	experience
d'expérience	experience
.	O
Une	O
formation	experience
à	experience
l'éducation	experience
thérapeutique	experience
est	O
souhaitée	O
.	O
Vous	O
avez	O
des	O
capacités	hard_skills
à	hard_skills
concevoir	hard_skills
et	hard_skills
animer	hard_skills
des	hard_skills
activités	hard_skills
thérapeutiques	hard_skills
manuelles	hard_skills
,	hard_skills
ludiques	hard_skills
,	hard_skills
professionnelles	hard_skills
et	hard_skills
domestiques	hard_skills
axées	hard_skills
sur	hard_skills
la	hard_skills
stimulation	hard_skills
.	O
Vous	O
avez	O
une	O
bonne	hard_skills
connaissance	hard_skills
des	hard_skills
techniques	hard_skills
de	hard_skills
rééducation	hard_skills
.	O
Vous	O
adhérez	soft_skills
au	soft_skills
projet	soft_skills
du	soft_skills
centre	soft_skills
et	soft_skills
avez	soft_skills
le	soft_skills
gout	soft_skills
du	soft_skills
travail	soft_skills
en	soft_skills
équipe	soft_skills
pluridisciplinaire	soft_skills
.	O
Vous	O
avez	O
des	O
capacités	soft_skills
à	soft_skills
vous	soft_skills
adapter	soft_skills
aux	soft_skills
personnes	soft_skills
ainsi	soft_skills
qu'aux	soft_skills
situations	soft_skills
.	O
Le	O
poste	O
est	O
à	O
pourvoir	O
en	O
CDI	contract_type
temps	O
plein	O
,	O
à	O
Saint-Ouen	city
-LRB-	O
93400	postal_code
-RRB-	O
courant	O
janvier	O
2018	O
.	O
L'ŒUVRE	company
FALRET	company
est	O
une	O
entreprise	O
handi	O
accueillante	O
.	O
Horaires	O
:	O
Du	O
lundi	O
au	O
vendredi	O
de	O
9h	O
à	O
17h	O
-LRB-	O
35h	O
/	O
sem	O
-RRB-	O
Type	O
d'emploi	O
:	O
CDI	contract_type
Salaire	O
:	O
24	salary
0	salary
$	salary
à	salary
28	salary
0	salary
$	salary
/	salary
an	salary
