Ergothérapeute	position
'	O
appuyant	O
sur	O
les	O
ressources	O
propres	O
à	O
chacun	O
.	O
Votre	hard skills
mission	hard skills
:	
Dans	hard skills
le	hard skills
cadre	hard skills
de	hard skills
son	hard skills
ouverture	hard skills
en	hard skills
janvier	hard skills
2018	hard skills
,	hard skills
vous	hard skills
contribuez	hard skills
au	hard skills
développement	hard skills
du	hard skills
projet	hard skills
du	hard skills
centre	hard skills
de	hard skills
jour	hard skills
.	O
Vous	hard skills
exercez	hard skills
des	hard skills
fonctions	hard skills
de	hard skills
diagnostic	hard skills
et	hard skills
d'évaluation	hard skills
des	hard skills
capacités	hard skills
et	hard skills
des	hard skills
besoins	hard skills
du	hard skills
patient	hard skills
.	
Vous	hard skills
assurez	hard skills
la	hard skills
rééducation	hard skills
et	hard skills
la	hard skills
réhabilitation	hard skills
cognitive	hard skills
,	
psychique	hard skills
,	O
sensorielle	hard skills
et	hard skills
motrice	hard skills
du	hard skills
patient	hard skills
";"	
Vous	hard skills
êtes	hard skills
garant	hard skills
d'un	hard skills
accompagnement	hard skills
de	hard skills
qualité	hard skills
et	hard skills
bientraitant	hard skills
:	
réalisation	hard skills
,	
choix	hard skills
et	hard skills
amélioration	hard skills
des	hard skills
aides	hard skills
techniques	hard skills
et	hard skills
des	hard skills
dispositifs	hard skills
adaptés	hard skills
aux	hard skills
patients	hard skills
.	O
Vous	hard skills
participez	hard skills
à	hard skills
l'échange	hard skills
d'informations	hard skills
au	hard skills
sein	hard skills
de	hard skills
l'équipe	hard skills
pluridisciplinaire	hard skills
:	
analyse	hard skills
,	
synthèse	hard skills
et	hard skills
transcription	hard skills
des	hard skills
informations	hard skills
sur	hard skills
la	hard skills
situation	hard skills
du	hard skills
patient	hard skills
.	O
Vous	hard skills
participez	hard skills
à	hard skills
la	hard skills
conception	hard skills
des	hard skills
projets	hard skills
de	hard skills
groupes	hard skills
thérapeutiques	hard skills
et	hard skills
des	hard skills
projets	hard skills
individualisés	hard skills
Membre	hard skills
de	hard skills
l'équipe	hard skills
pluridisciplinaire	hard skills
,	O
vous	hard skills
collaborez	hard skills
avec	hard skills
les	hard skills
autres	hard skills
professionnels	hard skills
de	hard skills
l'équipe	hard skills
dans	hard skills
l'accomplissement	hard skills
de	hard skills
votre	hard skills
mission	hard skills
.	
Profil	O
Titulaire	experience
du	experience
diplôme	experience
d'ergothérapeute	experience
,	
vous	experience
disposez	experience
de	experience
3	experience
à	experience
5	experience
ans	experience
d'expérience	experience
.	O
Une	experience
formation	experience
à	experience
l'éducation	experience
thérapeutique	experience
est	experience
souhaitée	experience
.	O
Vous	hard skills
avez	hard skills
des	hard skills
capacités	hard skills
à	hard skills
concevoir	hard skills
et	hard skills
animer	hard skills
des	hard skills
activités	hard skills
thérapeutiques	hard skills
manuelles	hard skills
,	
ludiques	hard skills
,	O
professionnelles	hard skills
et	hard skills
domestiques	hard skills
axées	hard skills
sur	hard skills
la	hard skills
stimulation	hard skills
.	O
Vous	hard skills
avez	hard skills
une	hard skills
bonne	hard skills
connaissance	hard skills
des	hard skills
techniques	hard skills
de	hard skills
rééducation	hard skills
.	O
Vous	hard skills
adhérez	hard skills
au	hard skills
projet	hard skills
du	hard skills
centre	hard skills
et	hard skills
avez	hard skills
le	hard skills
gout	hard skills
du	hard skills
travail	hard skills
en	hard skills
équipe	hard skills
pluridisciplinaire	hard skills
.	O
Vous	soft skills
avez	soft skills
des	soft skills
capacités	soft skills
à	soft skills
vous	soft skills
adapter	soft skills
aux	soft skills
personnes	soft skills
ainsi	soft skills
qu'aux	soft skills
situations	soft skills
.	O
Le	O
poste	O
est	O
à	O
pourvoir	O
en	O
CDI	contrat_type
temps	O
plein	O
,	O
à	O
Saint-Ouen	city
-LRB-	O
93400	code postal
-RRB-	O
courant	O
janvier	O
2018	O
.	O
L'ŒUVRE	company
FALRET	company
est	O
une	O
entreprise	O
handi	O
accueillante	O
.	O
Horaires	O
:	O
Du	O
lundi	O
au	O
vendredi	O
de	O
9h	O
à	O
17h	O
-LRB-	O
35h	O
/	O
sem	O
-RRB-	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
24	salary
0	salary
$	salary
à	O
28	salary
0	salary
$	salary
/	O
an	salary
